help,Help
close,Close
log_in,Log In
log_in_mid_phone,Phone number
log_in_mid_go,Go
log_in_mid_cancel,Cancel
log_in_mid_message,"Kontrollige, et näete oma mobiiltelefoni ekraanil täpselt sama numbrit ning seejärel sisestage Mobiil-ID PIN1."
log_in_info,Entu.ee uses those providers for user authentication. We don't get nor save Your password.
feedback,Feedback
homepage,Manual

menu_add,Add new
menu_edit,Edit/Delete
menu_relate,Join relative
menu_rights,Rights
menu_share,Share
menu_parents,Parents
menu_login,Login
menu_exit,Logout
menu_help,Help
menu_download,Download
menu_print,Print
menu_fullscreen,Fullscreen
menu_preferences,Preferences
menu_add_under,Add under %s
menu_add_under_this,Add under this entity
menu_duplicate,Duplicate

version_history,Change Log
quota,Usage and Quota
quota_entities,Entities: %s
quota_files,Files: %s of %s

search,Search
search_button,Search
search_advanced,Advanced search
search_simple,Simple search
search_placeholder,Search something...
search_term_to_short,Searching term '%s' is too short. Try to double it.
search_noresult,Found nothing
search_result_count1,Found just one
search_result_count2,Found %s
search_result_over_limit, Found more than %s

boolean_true,Yes
boolean_false,No

add_files_computer,Add from Computer
add_files_dropbox,Add from Dropbox
add_files_google,Link to Google Drive
add_files_url,Add from URL
add_files_url_prompt,Enter URL

entity_delete,Delete
confirm_entity_delete,%s and all its childs will be deleted.
confirm_file_delete,File %s will be deleted.
edit_help_tabs,"Donec a metus tellus. Nullam vulputate, ligula a ornare eleifend, dolor quam ornare velit, a malesuada mauris mi vitae quam. Quisque auctor nulla faucibus sem elementum placerat."

download_all_as_zip,Download all files

counter_generate_value,Generate number

duplicate_count,Count of duplicates
duplicate_create_duplicates1,Create one copy
duplicate_create_duplicates2,create %s copies

created,Created
changed,Changed
complete,Complete

share_by_email,Share by email
share_to,To (email)
share_message,Message
share_send,Send

confirm_parent_delete,"Relation to '%s' will be deleted."

public_link,Public Link

rights_public,Public on the web
rights_public_desc,Anyone on the Internet can access and view public properties. No sign-in required.
rights_link,Anyone with the link
rights_link_desc,Anyone who has the link can access and view all properties. No sign-in required.
rights_generate_link,Generate link
rights_delete_link,Remove link
rights_domain,Anyone at %s
rights_domain_desc,People at %s can access and view all properties. Sign-in required.
rights_private,Private
rights_private_desc,Only people explicitly granted permission (see below) can access. Sign-in required.
rights_no_access, No access
rights_can_view,Can only view
rights_can_add_child,Can view and add childs
rights_can_edit,"Can edit and add childs"
rights_owner,"Can edit, delete, add childs and change rights"
rights_add_user,Add new
rights_help_share,"Donec pharetra, sem quis pellentesque convallis, ligula neque dignissim tellus, non laoreet dolor neque nec felis. Etiam id eleifend nunc."
rights_help_rights,"Pellentesque ac eros nec odio adipiscing sollicitudin. Etiam congue, purus a volutpat semper, mi arcu condimentum ante, luctus consequat odio nisl sit amet nunc. Nullam risus ante, posuere vitae euismod eu, molestie sit amet nibh. Donec id turpis eget ante placerat tincidunt. "
rights_help_add,"Quisque turpis tortor, cursus in feugiat vel, aliquet vitae eros. Sed tincidunt cursus ante, vitae placerat dui vulputate in. Nulla dignissim suscipit arcu, id mattis ligula iaculis id."

action_add_default,Manually
action_add_ester,Import from Ester
action_add_ester_search_placeholder,"Title, ISBN or Ester's permalink"
action_add_ester_add,Add
action_add_ester_open,Open
action_add_ester_help_search,"Donec pharetra, sem quis pellentesque convallis, ligula neque dignissim tellus, non laoreet dolor neque nec felis. Etiam id eleifend nunc."

action_add_csv,From CSV file
action_add_csv_file,CSV file
action_add_csv_delimiter,Delimiter
action_add_csv_first_row,First row
action_add_csv_do_import,Import %s rows
action_add_csv_encoding,Encoding

action_add_cmdi,CMDI XML
action_add_cmdi_placeholder,"Paste your CMDI XML here"
action_add_cmdi_help,"Donec pharetra, sem quis pellentesque convallis, ligula neque dignissim tellus, non laoreet dolor neque nec felis. Etiam id eleifend nunc."

user_preferences,User preferences
user_name,Name
user_language,Language
user_timezone,Timezone
user_accounts,Accounts
user_hide_menu,Hide entities menu
